ts_utc,pod,container,cpu_milli,memory_mi,restarts,phase
2026-05-19T14:04:44Z,formbricks-hub-6d86596db9-7xckk,hub,1,7,0,Running
2026-05-19T14:04:44Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6029,3042,0,Running
2026-05-19T14:04:44Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,4,9,0,Running
2026-05-19T14:04:51Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:04:51Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:04:51Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:04:51Z,formbricks-hub-6d86596db9-7xckk,hub,1,7,0,Running
2026-05-19T14:04:51Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6169,3044,0,Running
2026-05-19T14:04:51Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,4,9,0,Running
2026-05-19T14:04:59Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:04:59Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:04:59Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:04:59Z,formbricks-hub-6d86596db9-7xckk,hub,1,7,0,Running
2026-05-19T14:04:59Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6169,3044,0,Running
2026-05-19T14:04:59Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,4,9,0,Running
2026-05-19T14:05:06Z,formbricks-587b784596-qlf9g,formbricks,4,458,1,Running
2026-05-19T14:05:06Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:05:06Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:05:06Z,formbricks-hub-6d86596db9-7xckk,hub,1,7,0,Running
2026-05-19T14:05:06Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,3844,3034,0,Running
2026-05-19T14:05:06Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,4,9,0,Running
2026-05-19T14:05:13Z,formbricks-587b784596-qlf9g,formbricks,4,458,1,Running
2026-05-19T14:05:13Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:05:13Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:05:13Z,formbricks-hub-6d86596db9-7xckk,hub,1,7,0,Running
2026-05-19T14:05:13Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,3844,3034,0,Running
2026-05-19T14:05:13Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,4,9,0,Running
2026-05-19T14:05:21Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:05:21Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:05:21Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:05:21Z,formbricks-hub-6d86596db9-7xckk,hub,1,7,0,Running
2026-05-19T14:05:21Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5,3034,0,Running
2026-05-19T14:05:21Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,4,9,0,Running
