ts_utc,pod,container,cpu_milli,memory_mi,restarts,phase
2026-05-19T14:08:55Z,formbricks-hub-6d86596db9-7xckk,hub,2,10,0,Running
2026-05-19T14:08:55Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5981,3041,0,Running
2026-05-19T14:08:55Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:09:02Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:09:02Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:09:02Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:09:02Z,formbricks-hub-6d86596db9-7xckk,hub,2,10,0,Running
2026-05-19T14:09:02Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5981,3041,0,Running
2026-05-19T14:09:02Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:09:09Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:09:09Z,formbricks-587b784596-zgjn5,formbricks,59,472,0,Running
2026-05-19T14:09:09Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:09:09Z,formbricks-hub-6d86596db9-7xckk,hub,2,10,0,Running
2026-05-19T14:09:09Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5981,3041,0,Running
2026-05-19T14:09:09Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,6,9,0,Running
2026-05-19T14:09:17Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:09:17Z,formbricks-587b784596-zgjn5,formbricks,59,472,0,Running
2026-05-19T14:09:17Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:09:17Z,formbricks-hub-6d86596db9-7xckk,hub,2,10,0,Running
2026-05-19T14:09:17Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5981,3041,0,Running
